Syllable,Vruta ID,Number of Syllables in Verse,Syllable Position in Verse,Ganam Position in Verse,Syllable Position in Ganam,Previous Syllable Origin,Next Syllable Origin,Current Syllable Origin,Previous Syllable Matra,Next syllable Matra,Current Syllable Matra,Previous Syllable Joint,Next Syllable Joint,Current Syllable Joint,Number of Syllables in Ganam,Yati,Yati Position,Distance from Yati,Total Matra in Ganam,Total Matra in Verse,Duration
ra,1,14,2,1,2,50,50,42,1,2,1,0,0,0,3,0,7,-5,4,17,0.158938
sam,1,14,3,1,3,42,51,50,1,1,2,0,0,0,3,0,7,-4,4,17,0.4071
ha,1,14,4,2,1,50,30,51,2,1,1,0,0,0,2,0,7,-3,2,17,0.250432
thi,1,14,5,2,2,51,36,30,1,1,1,0,0,0,2,0,7,-2,2,17,0.214263
pa,1,14,6,3,1,30,30,36,1,1,1,0,0,0,2,0,7,-1,2,17,0.202429
thi,1,14,7,3,2,36,30,30,1,1,1,0,0,0,2,1,7,0,2,17,0.281241
tha,1,14,8,4,1,30,25,30,1,1,1,0,0,0,3,0,7,1,3,17,0.213738
da,1,14,9,4,2,30,34,25,1,1,1,0,0,0,3,0,7,2,3,17,0.200176
nu,1,14,10,4,3,25,50,34,1,2,1,0,0,0,3,0,7,3,3,17,0.151515
swaa,1,14,11,5,1,34,51,50,1,2,2,0,0,0,2,0,7,4,4,17,0.434492
haa,1,14,12,5,2,50,36,51,2,1,2,0,0,0,2,0,7,5,4,17,0.515762
pa,1,14,13,6,1,51,30,36,2,1,1,0,0,0,2,0,7,6,2,17,0.175086
thi,1,14,14,6,2,36,47,30,1,1,1,0,0,0,2,0,7,7,2,17,0.250432
va,1,14,1,1,1,30,42,47,1,1,1,0,0,0,3,0,7,-6,4,16,0.24351
ra,1,14,2,1,2,47,25,42,1,2,1,0,0,0,3,0,7,-5,4,16,0.211431
dan,1,14,3,1,3,42,36,25,1,2,2,0,0,0,3,0,7,-4,4,16,0.423412
pi,1,14,4,2,1,25,30,36,2,1,2,0,0,0,2,0,7,-3,3,16,0.421412
thru,1,14,5,2,2,36,36,30,2,1,1,0,0,0,2,0,7,-2,3,16,0.22018
pa,1,14,6,3,1,30,30,36,1,1,1,0,0,0,2,0,7,-1,2,16,0.221638
thi,1,14,7,3,2,36,34,30,1,1,1,0,0,0,2,1,7,0,2,16,0.305269
ni,1,14,8,4,1,30,42,34,1,1,1,0,0,0,3,0,7,1,3,16,0.281241
rya,1,14,9,4,2,34,30,42,1,1,1,0,0,0,3,0,7,2,3,16,0.250432
thi,1,14,10,4,3,42,22,30,1,1,1,0,0,0,3,0,7,3,3,16,0.229015
ja,1,14,11,5,1,30,44,22,1,1,1,0,0,0,2,0,7,4,2,16,0.215805
la,1,14,12,5,2,22,36,44,1,1,1,0,0,0,2,0,7,5,2,16,0.250432
pa,1,14,13,6,1,44,30,36,1,1,1,0,0,0,2,0,7,6,2,16,0.208515
thi,1,14,14,6,2,36,30,30,1,1,1,0,0,0,2,0,7,7,2,16,0.281241
tha,1,14,1,1,1,30,42,30,1,1,1,0,0,0,3,0,7,-6,4,17,0.180794
ra,1,14,2,1,2,30,50,42,1,2,1,0,0,0,3,0,7,-5,4,17,0.200176
saa,1,14,3,1,3,42,50,50,1,1,2,0,0,0,3,0,7,-4,4,17,0.430165
sa,1,14,4,2,1,50,25,50,2,2,1,0,0,0,2,0,7,-3,3,17,0.250432
daa,1,14,5,2,2,50,17,25,1,1,2,0,0,0,2,0,7,-2,3,17,0.424312
ga,1,14,6,3,1,25,30,17,2,1,1,0,0,0,2,0,7,-1,2,17,0.250432
thi,1,14,7,3,2,17,50,30,1,1,1,0,0,0,2,1,7,0,2,17,0.252488
sa,1,14,8,4,1,30,25,50,1,1,1,0,0,0,3,0,7,1,3,17,0.250432
da,1,14,9,4,2,50,41,25,1,2,1,0,0,0,3,0,7,2,3,17,0.160792
yam,1,14,10,4,3,25,34,41,1,1,2,0,0,0,3,0,7,3,3,17,0.394318
ni,1,14,11,5,1,41,33,34,2,1,1,0,0,0,2,0,7,4,2,17,0.22597
