Syllable,Vruta ID,Number of Syllables in Verse,Syllable Position in Verse,Ganam Position in Verse,Syllable Position in Ganam,Previous Syllable Origin,Next Syllable Origin,Current Syllable Origin,Previous Syllable Matra,Next syllable Matra,Current Syllable Matra,Previous Syllable Joint,Next Syllable Joint,Current Syllable Joint,Number of Syllables in Ganam,Yati,Yati Position,Distance from Yati,Total Matra in Ganam,Total Matra in Verse,Duration
thwab,2,12,1,1,1,51,40,30,2,2,1,0,0,0,3,0,6,-5,4,19,0.250432
maam,2,12,2,1,2,30,50,40,1,1,2,0,0,0,3,0,6,-4,4,19,0.433412
sa,2,12,3,1,3,40,42,50,2,2,1,0,0,0,3,0,6,-3,4,19,0.250753
ra,2,12,4,2,1,50,15,42,1,2,2,0,0,0,3,0,6,-2,5,19,0.396047
kthaa,2,12,5,2,2,42,50,15,2,1,2,0,1,0,3,0,6,-1,5,19,0.453312
sthi,2,12,6,2,3,15,47,50,2,2,1,0,0,1,3,1,6,0,5,19,0.281241
vin,2,12,7,3,1,50,40,47,1,2,2,1,0,0,3,0,6,1,5,19,0.433312
muu,2,12,8,3,2,47,30,40,2,1,2,0,0,0,3,0,6,2,5,19,0.43328
thra,2,12,9,3,3,40,42,30,2,2,1,0,0,0,3,0,6,3,5,19,0.281241
ree,2,12,10,4,1,30,30,42,1,1,2,0,0,0,3,0,6,4,5,19,0.377282
tha,2,12,11,4,2,42,50,30,2,2,1,0,0,0,3,0,6,5,5,19,0.176989
saam,2,12,12,4,3,30,50,50,1,2,2,0,0,0,3,0,6,6,5,19,0.522226
sa,2,12,1,1,1,50,40,50,2,2,2,0,1,0,3,0,6,-5,5,18,0.411322
mmee,2,12,2,1,2,50,44,40,2,1,2,0,0,1,3,0,6,-4,5,18,0.439643
la,2,12,3,1,3,40,34,44,2,2,1,1,0,0,3,0,6,-3,5,18,0.225813
nam,2,12,4,2,1,44,36,34,1,1,2,0,0,0,3,0,6,-2,4,18,0.424312
pa,2,12,5,2,2,34,34,36,2,1,1,0,0,0,3,0,6,-1,4,18,0.187921
ncha,2,12,6,2,3,36,39,34,1,2,1,0,0,0,3,1,6,0,4,18,0.309323
bhuu,2,12,7,3,1,34,30,39,1,1,2,0,0,0,3,0,6,1,4,18,0.443312
tha,2,12,8,3,2,39,15,30,2,1,1,0,0,0,3,0,6,2,4,18,0.216708
ka,2,12,9,3,3,30,34,15,1,2,1,0,0,0,3,0,6,3,4,18,0.208436
nir,2,12,10,4,1,15,40,34,1,1,2,0,1,0,3,0,6,4,5,18,0.423412
mmi,2,12,11,4,2,34,30,40,2,2,1,0,0,1,3,0,6,5,5,18,0.250432
tham,2,12,12,4,3,40,40,30,1,2,2,1,0,0,3,0,6,6,5,18,0.433313
maa,2,12,1,1,1,30,41,40,2,2,2,0,0,0,3,0,6,-5,5,18,0.423322
yaa,2,12,2,1,2,40,40,41,2,1,2,0,0,0,3,0,6,-4,5,18,0.423412
ma,2,12,3,1,3,41,41,40,2,1,1,0,0,0,3,0,6,-3,5,18,0.204751
ya,2,12,4,2,1,40,40,41,1,2,1,0,0,0,3,0,6,-2,4,18,0.250432
maay,2,12,5,2,2,41,36,40,1,1,2,0,0,0,3,0,6,-1,4,18,0.400711
pa,2,12,6,2,3,40,42,36,2,1,1,0,0,0,3,1,6,0,4,18,0.230912
ri,2,12,7,3,1,36,34,42,1,2,1,0,0,0,3,0,6,1,4,18,0.268832
naa,2,12,8,3,2,42,40,34,1,1,2,0,0,0,3,0,6,2,4,18,0.424312
mi,2,12,9,3,3,34,41,40,2,2,1,0,0,0,3,0,6,3,4,18,0.264822
yaa,2,12,10,4,1,40,41,41,1,2,2,0,0,0,3,0,6,4,5,18,0.422412
yoo,2,12,11,4,2,41,42,41,2,1,2,0,0,0,3,0,6,5,5,18,0.396534
ru,2,12,12,4,3,41,15,42,2,2,1,0,0,0,3,0,6,6,5,18,0.291755
kaa,2,12,1,1,1,42,41,15,1,2,2,0,0,0,3,0,6,-5,5,19,0.423322
yam,2,12,2,1,2,15,47,41,2,1,2,0,0,0,3,0,6,-4,5,19,0.392735
vi,2,12,3,1,3,41,15,47,2,2,1,0,0,0,3,0,6,-3,5,19,0.273719
kaa,2,12,4,2,1,47,42,15,1,1,2,0,0,0,3,0,6,-2,5,19,0.424312
ri,2,12,5,2,2,15,41,42,2,2,1,0,0,0,3,0,6,-1,5,19,0.174423
yaa,2,12,6,2,3,42,41,41,1,2,2,0,0,0,3,1,6,0,5,19,0.523312
yu,2,12,7,3,1,41,44,41,2,2,2,0,1,0,3,0,6,1,5,19,0.421312
lloo,2,12,8,3,2,41,34,44,2,1,2,0,1,1,3,0,6,2,5,19,0.444312
nni,2,12,9,3,3,44,30,34,2,1,1,1,0,1,3,0,6,3,5,19,0.250432
tha,2,12,10,4,1,34,32,30,1,1,1,1,0,0,3,0,6,4,4,19,0.250432
ddhru,2,12,11,4,2,30,47,32,1,2,1,0,0,0,3,0,6,5,4,19,0.22724
vam,2,12,12,4,3,32,32,47,1,2,2,0,0,0,3,0,6,6,4,19,0.414796
ddee,2,12,1,1,1,47,51,32,2,2,2,0,0,0,3,0,6,-5,5,20,0.433322
haa,2,12,2,1,2,32,39,51,2,1,2,0,0,0,3,0,6,-4,5,20,0.423412
bhi,2,12,3,1,3,51,40,39,2,2,1,0,0,0,3,0,6,-3,5,20,0.200176
maa,2,12,4,2,1,39,34,40,1,2,2,0,0,0,3,0,6,-2,5,20,0.424312
nam,2,12,5,2,2,40,34,34,2,1,2,0,0,0,3,0,6,-1,5,20,0.432312
ni,2,12,6,2,3,34,40,34,2,2,1,0,0,0,3,1,6,0,5,20,0.230912
mi,2,12,7,3,1,34,30,40,1,1,2,0,1,0,3,0,6,1,5,20,0.420447
ttha,2,12,8,3,2,40,40,30,2,2,1,0,0,1,3,0,6,2,5,20,0.200176
maa,2,12,9,3,3,30,41,40,1,2,2,1,0,0,3,0,6,3,5,20,0.374717
yu,2,12,10,4,1,40,53,41,2,2,2,0,1,0,3,0,6,4,5,20,0.421412
ndaa,2,12,11,4,2,41,41,53,2,1,2,0,0,1,3,0,6,5,5,20,0.4821
ya,2,12,12,4,3,53,40,41,2,2,1,1,0,0,3,0,6,6,5,20,0.279503
moo,2,12,1,1,1,41,51,40,1,2,2,0,0,0,3,0,6,-5,5,20,0.423322
hee,2,12,2,1,2,40,34,51,2,1,2,0,0,0,3,0,6,-4,5,20,0.423412
na,2,12,3,1,3,51,44,34,2,2,1,0,0,0,3,0,6,-3,5,20,0.18754
loo,2,12,4,2,1,34,15,44,1,2,2,0,0,0,3,0,6,-2,5,20,0.426076
kam,2,12,5,2,2,44,32,15,2,1,2,0,0,0,3,0,6,-1,5,20,0.433312
dda,2,12,6,2,3,15,51,32,2,2,1,0,0,0,3,1,6,0,5,20,0.250432
hi,2,12,7,3,1,32,36,51,1,2,2,0,1,0,3,0,6,1,5,20,0.424325
ppi,2,12,8,3,2,51,36,36,2,1,2,0,1,1,3,0,6,2,5,20,0.433312
ppa,2,12,9,3,3,36,30,36,2,2,1,1,0,1,3,0,6,3,5,20,0.183203
thi,2,12,10,4,1,36,34,30,1,1,2,1,1,0,3,0,6,4,5,20,0.423412
nnu,2,12,11,4,2,30,34,34,2,2,1,0,0,1,3,0,6,5,5,20,0.250432
nii,2,12,12,4,3,34,40,34,1,2,2,1,0,0,3,0,6,6,5,20,0.499883
maa,2,12,1,1,1,34,34,40,2,1,2,0,0,0,3,0,6,-5,4,19,0.423322
na,2,12,2,1,2,40,50,34,2,1,1,0,0,0,3,0,6,-4,4,19,0.170131
sa,2,12,3,1,3,34,30,50,1,2,1,0,0,0,3,0,6,-3,4,19,0.281241
thaa,2,12,4,2,1,50,42,30,1,2,2,0,0,0,3,0,6,-2,5,19,0.434312
ril,2,12,5,2,2,30,34,42,2,1,2,0,0,0,3,0,6,-1,5,19,0.433312
ni,2,12,6,2,3,42,42,34,2,2,1,0,0,0,3,1,6,0,5,19,0.230912
ruu,2,12,7,3,1,34,36,42,1,2,2,0,0,0,3,0,6,1,5,19,0.433312
pi,2,12,8,3,2,42,20,36,2,1,2,0,1,0,3,0,6,2,5,19,0.422312
ccha,2,12,9,3,3,36,30,20,2,2,1,0,0,1,3,0,6,3,5,19,0.292038
thum,2,12,10,4,1,20,30,30,1,1,2,1,0,0,3,0,6,4,5,19,0.432412
tha,2,12,11,4,2,30,47,30,2,2,1,0,0,0,3,0,6,5,5,19,0.204565
vam,2,12,12,4,3,30,34,47,1,2,2,0,0,0,3,0,6,6,5,19,0.423313
naa,2,12,1,1,1,47,34,34,2,1,2,0,0,0,3,0,6,-5,5,17,0.38854
na,2,12,2,1,2,34,40,34,2,2,1,0,0,0,3,0,6,-4,5,17,0.180424
mi,2,12,3,1,3,34,44,40,1,2,2,0,1,0,3,0,6,-3,5,17,0.421412
llaay,2,12,4,2,1,40,15,44,2,2,2,0,0,1,3,0,6,-2,5,17,0.596194
ke,2,12,5,2,2,44,34,15,2,1,2,1,1,0,3,0,6,-1,5,17,0.431312
nna,2,12,6,2,3,15,42,34,2,1,1,0,0,1,3,1,6,0,5,17,0.316332
ri,2,12,7,3,1,34,15,42,1,1,1,1,0,0,3,0,6,1,4,17,0.250432
ka,2,12,8,3,2,42,34,15,1,2,1,0,0,0,3,0,6,2,4,17,0.167393
nii,2,12,9,3,3,15,44,34,1,1,2,0,0,0,3,0,6,3,4,17,0.423412
laksh,2,12,10,4,1,34,40,44,2,1,1,0,0,0,3,0,6,4,3,17,0.281241
ma,2,12,11,4,2,44,34,40,1,1,1,0,0,0,3,0,6,5,3,17,0.169962
na,2,12,12,4,3,40,32,34,1,2,1,0,0,0,3,0,6,6,3,17,0.281241
ddoo,2,12,1,1,1,34,48,32,1,2,2,0,0,0,3,0,6,-5,5,20,0.433322
sha,2,12,2,1,2,32,19,48,2,1,2,0,1,0,3,0,6,-4,5,20,0.423412
nga,2,12,3,1,3,48,44,19,2,2,1,0,0,1,3,0,6,-3,5,20,0.250432
lo,2,12,4,2,1,19,15,44,1,1,2,1,1,0,3,0,6,-2,5,20,0.422312
kka,2,12,5,2,2,44,47,15,2,2,1,0,0,1,3,0,6,-1,5,20,0.21778
vee,2,12,6,2,3,15,32,47,1,2,2,1,0,0,3,1,6,0,5,20,0.524312
ddee,2,12,7,3,1,47,51,32,2,2,2,0,0,0,3,0,6,1,5,20,0.443312
haa,2,12,8,3,2,32,39,51,2,1,2,0,0,0,3,0,6,2,5,20,0.381348
bhi,2,12,9,3,3,51,40,39,2,2,1,0,0,0,3,0,6,3,5,20,0.172021
maa,2,12,10,4,1,39,34,40,1,1,2,0,0,0,3,0,6,4,5,20,0.423412
ni,2,12,11,4,2,40,34,34,2,2,1,0,0,0,3,0,6,5,5,20,0.165219
naam,2,12,12,4,3,34,42,34,1,2,2,0,0,0,3,0,6,6,5,20,0.487669
roo,2,12,1,1,1,34,48,42,2,2,2,0,0,0,3,0,6,-5,5,19,0.423322
shee,2,12,2,1,2,42,34,48,2,1,2,0,0,0,3,0,6,-4,5,19,0.396815
na,2,12,3,1,3,48,47,34,2,2,1,0,0,0,3,0,6,-3,5,19,0.205576
va,2,12,4,2,1,34,34,47,1,1,2,0,1,0,3,0,6,-2,4,19,0.422312
nnu,2,12,5,2,2,47,39,34,2,1,1,0,0,1,3,0,6,-1,4,19,0.281241
bha,2,12,6,2,3,34,47,39,1,2,1,1,0,0,3,1,6,0,4,19,0.25887
vi,2,12,7,3,1,39,15,47,1,2,2,0,1,0,3,0,6,1,5,19,0.431312
kku,2,12,8,3,2,47,34,15,2,1,2,0,1,1,3,0,6,2,5,19,0.434312
nni,2,12,9,3,3,15,30,34,2,2,1,1,0,1,3,0,6,3,5,19,0.281241
thoor,2,12,10,4,1,34,15,30,1,1,2,1,1,0,3,0,6,4,5,19,0.443412
kka,2,12,11,4,2,30,34,15,2,2,1,0,0,1,3,0,6,5,5,19,0.189222
nii,2,12,12,4,3,15,32,34,1,2,2,1,0,0,3,0,6,6,5,19,0.482526
ddee,2,12,1,1,1,34,51,32,2,2,2,0,0,0,3,0,6,-5,5,17,0.433322
hoo,2,12,2,1,2,32,51,51,2,1,2,0,0,0,3,0,6,-4,5,17,0.491801
ha,2,12,3,1,3,51,40,51,2,2,1,0,0,0,3,0,6,-3,5,17,0.281241
me,2,12,4,2,1,51,34,40,1,2,2,0,1,0,3,0,6,-2,5,17,0.422312
nnu,2,12,5,2,2,40,44,34,2,1,2,0,1,1,3,0,6,-1,5,17,0.443312
lla,2,12,6,2,3,34,38,44,2,1,1,1,0,1,3,1,6,0,5,17,0.321529
bu,2,12,7,3,1,44,32,38,1,1,1,1,0,0,3,0,6,1,3,17,0.281241
ddhi,2,12,8,3,2,38,40,32,1,1,1,0,0,0,3,0,6,2,3,17,0.250432
ma,2,12,9,3,3,32,34,40,1,1,1,0,0,0,3,0,6,3,3,17,0.173365
nu,2,12,10,4,1,40,48,34,1,2,1,0,0,0,3,0,6,4,4,17,0.200176
shyar,2,12,11,4,2,34,15,48,1,1,2,0,1,0,3,0,6,5,4,17,0.545675
kku,2,12,12,4,3,48,40,15,2,2,1,0,0,1,3,0,6,6,4,17,0.266642
moo,2,12,1,1,1,15,51,40,1,1,2,1,0,0,3,0,6,-5,5,19,0.423322
ha,2,12,2,1,2,40,40,51,2,2,1,0,0,0,3,0,6,-4,5,19,0.220621
maa,2,12,3,1,3,51,30,40,1,2,2,0,0,0,3,0,6,-3,5,19,0.423412
thaa,2,12,4,2,1,40,47,30,2,2,2,0,0,0,3,0,6,-2,5,19,0.393949
vaa,2,12,5,2,2,30,40,47,2,1,2,0,0,0,3,0,6,-1,5,19,0.433312
ma,2,12,6,2,3,47,47,40,2,1,1,0,0,0,3,1,6,0,5,19,0.250432
vi,2,12,7,3,1,40,32,47,1,1,1,0,0,0,3,0,6,1,4,19,0.200176
ddya,2,12,8,3,2,47,41,32,1,2,1,0,0,0,3,0,6,2,4,19,0.281241
yaa,2,12,9,3,3,32,15,41,1,2,2,0,0,0,3,0,6,3,4,19,0.423412
ku,2,12,10,4,1,41,34,15,2,1,2,0,1,0,3,0,6,4,5,19,0.421412
nna,2,12,11,4,2,15,30,34,2,2,1,0,0,1,3,0,6,5,5,19,0.250432
thum,2,12,12,4,3,34,32,30,1,2,2,1,0,0,3,0,6,6,5,19,0.500867
ddee,2,12,1,1,1,30,51,32,2,1,2,0,0,0,3,0,6,-5,5,21,0.433322
ha,2,12,2,1,2,32,40,51,2,2,1,0,0,0,3,0,6,-4,5,21,0.21595
ma,2,12,3,1,3,51,44,40,1,2,2,0,1,0,3,0,6,-3,5,21,0.421412
lloor,2,12,4,2,1,40,15,44,2,2,2,0,1,1,3,0,6,-2,6,21,0.60201
kkil,2,12,5,2,2,44,24,15,2,2,2,1,0,1,3,0,6,-1,6,21,0.453312
njaa,2,12,6,2,3,15,34,24,2,2,2,1,0,0,3,1,6,0,6,21,0.534312
naa,2,12,7,3,1,24,41,34,2,1,2,0,0,0,3,0,6,1,5,21,0.433312
ya,2,12,8,3,2,34,30,41,2,2,1,0,0,0,3,0,6,2,5,21,0.231739
thaa,2,12,9,3,3,41,30,30,1,2,2,0,0,0,3,0,6,3,5,21,0.432412
thmaa,2,12,10,4,1,30,47,30,2,2,2,0,0,0,3,0,6,4,5,21,0.388009
ve,2,12,11,4,2,30,34,47,2,1,2,0,1,0,3,0,6,5,5,21,0.421322
nnu,2,12,12,4,3,47,40,34,2,2,1,0,0,1,3,0,6,6,5,21,0.281241
moo,2,12,1,1,1,34,51,40,1,1,2,1,0,0,3,0,6,-5,4,17,0.423322
hai,2,12,2,1,2,40,15,51,2,1,1,0,0,0,3,0,6,-4,4,17,0.250432
ka,2,12,3,1,3,51,51,15,1,2,1,0,0,0,3,0,6,-3,4,17,0.200176
ha,2,12,4,2,1,15,56,51,1,1,2,0,1,0,3,0,6,-2,5,17,0.422312
nthri,2,12,5,2,2,51,41,56,2,2,1,0,0,1,3,0,6,-1,5,17,0.281241
yaa,2,12,6,2,3,56,41,41,1,2,2,1,0,0,3,1,6,0,5,17,0.523312
yu,2,12,7,3,1,41,44,41,2,1,2,0,1,0,3,0,6,1,4,17,0.421312
lla,2,12,8,3,2,41,30,44,2,1,1,0,0,1,3,0,6,2,4,17,0.281241
thu,2,12,9,3,3,44,47,30,1,1,1,1,0,0,3,0,6,3,4,17,0.281241
vi,2,12,10,4,1,30,32,47,1,1,1,0,0,0,3,0,6,4,4,17,0.250432
ddya,2,12,11,4,2,47,15,32,1,2,1,0,0,0,3,0,6,5,4,17,0.239892
keel,2,12,12,4,3,32,50,15,1,2,2,0,0,0,3,0,6,6,4,17,0.530133
sam,2,12,1,1,1,15,50,50,2,2,2,0,0,0,3,0,6,-5,5,17,0.422322
saa,2,12,2,1,2,50,42,50,2,1,2,0,0,0,3,0,6,-4,5,17,0.410544
ra,2,12,3,1,3,50,15,42,2,2,1,0,0,0,3,0,6,-3,5,17,0.184994
kaa,2,12,4,2,1,42,42,15,1,1,2,0,0,0,3,0,6,-2,4,17,0.424312
ri,2,12,5,2,2,15,34,42,2,1,1,0,0,0,3,0,6,-1,4,17,0.16246
ni,2,12,6,2,3,42,41,34,1,2,1,0,0,0,3,1,6,0,4,17,0.281241
yaa,2,12,7,3,1,34,41,41,1,1,2,0,0,0,3,0,6,1,4,17,0.432312
ya,2,12,8,3,2,41,30,41,2,1,1,0,0,0,3,0,6,2,4,17,0.216941
tha,2,12,9,3,3,41,47,30,1,1,1,0,0,0,3,0,6,3,4,17,0.279646
vi,2,12,10,4,1,30,32,47,1,1,1,0,0,0,3,0,6,4,4,17,0.170474
ddya,2,12,11,4,2,47,41,32,1,2,1,0,0,0,3,0,6,5,4,17,0.281241
yum,2,12,12,4,3,32,50,41,1,2,2,0,0,0,3,0,6,6,4,17,0.423313
sam,2,12,1,1,1,41,50,50,2,2,2,0,0,0,3,0,6,-5,5,17,0.380097
saa,2,12,2,1,2,50,42,50,2,1,2,0,0,0,3,0,6,-4,5,17,0.420028
ra,2,12,3,1,3,50,34,42,2,2,1,0,0,0,3,0,6,-3,5,17,0.170746
naa,2,12,4,2,1,42,48,34,1,1,2,0,0,0,3,0,6,-2,4,17,0.424312
shi,2,12,5,2,2,34,34,48,2,1,1,0,0,0,3,0,6,-1,4,17,0.250432
ni,2,12,6,2,3,48,41,34,1,2,1,0,0,0,3,1,6,0,4,17,0.289598
yaa,2,12,7,3,1,34,41,41,1,1,2,0,0,0,3,0,6,1,4,17,0.432312
ya,2,12,8,3,2,41,30,41,2,1,1,0,0,0,3,0,6,2,4,17,0.295803
thu,2,12,9,3,3,41,47,30,1,1,1,0,0,0,3,0,6,3,4,17,0.285073
vi,2,12,10,4,1,30,32,47,1,1,1,0,0,0,3,0,6,4,4,17,0.240007
ddya,2,12,11,4,2,47,41,32,1,2,1,0,0,0,3,0,6,5,4,17,0.250432
yum,2,12,12,4,3,32,2,41,1,2,2,0,0,0,3,0,6,6,4,17,0.461546
aa,2,12,1,1,1,41,15,2,2,1,2,0,0,0,3,0,6,-5,5,19,0.421322
ka,2,12,2,1,2,2,41,15,2,2,1,0,0,0,3,0,6,-4,5,19,0.1672
yaal,2,12,3,1,3,15,40,41,1,2,2,0,0,0,3,0,6,-3,5,19,0.433412
moo,2,12,4,2,1,41,15,40,2,2,2,0,1,0,3,0,6,-2,5,19,0.424312
kshaar,2,12,5,2,2,40,30,15,2,1,2,0,1,1,3,0,6,-1,5,19,0.548595
tthi,2,12,6,2,3,15,41,30,2,2,1,1,0,1,3,1,6,0,5,19,0.250432
yaa,2,12,7,3,1,30,15,41,1,2,2,1,0,0,3,0,6,1,5,19,0.433312
kil,2,12,8,3,2,41,47,15,2,1,2,0,0,0,3,0,6,2,5,19,0.424312
vi,2,12,9,3,3,15,32,47,2,1,1,0,0,0,3,0,6,3,5,19,0.250432
ddya,2,12,10,4,1,47,39,32,1,2,1,0,0,0,3,0,6,4,4,19,0.281241
bhyaa,2,12,11,4,2,32,50,39,1,1,2,0,0,0,3,0,6,5,4,19,0.443322
sa,2,12,12,4,3,39,40,50,2,2,1,0,0,0,3,0,6,6,4,19,0.281241
mee,2,12,1,1,1,50,15,40,1,2,2,0,0,0,3,0,6,-5,5,20,0.423322
kaa,2,12,2,1,2,40,56,15,2,1,2,0,1,0,3,0,6,-4,5,20,0.423412
ntha,2,12,3,1,3,15,20,56,2,2,1,0,0,1,3,0,6,-3,5,20,0.194756
chee,2,12,4,2,1,56,30,20,1,1,2,1,0,0,3,0,6,-2,5,20,0.411151
tha,2,12,5,2,2,20,50,30,2,2,1,0,0,0,3,0,6,-1,5,20,0.200176
saa,2,12,6,2,3,30,20,50,1,2,2,0,0,0,3,1,6,0,5,20,0.551699
chey,2,12,7,3,1,50,15,20,2,1,2,0,0,0,3,0,6,1,5,20,0.400384
ka,2,12,8,3,2,20,47,15,2,2,1,0,0,0,3,0,6,2,5,20,0.190982
vee,2,12,9,3,3,15,34,47,1,2,2,0,1,0,3,0,6,3,5,20,0.423412
ndu,2,12,10,4,1,47,34,34,2,1,2,0,1,1,3,0,6,4,5,20,0.432412
nna,2,12,11,4,2,34,30,34,2,2,1,1,0,1,3,0,6,5,5,20,0.281241
thum,2,12,12,4,3,34,30,30,1,2,2,1,0,0,3,0,6,6,5,20,0.471339
tha,2,12,1,1,1,30,30,30,2,1,2,0,0,0,3,0,6,-5,5,19,0.412322
thra,2,12,2,1,2,30,15,30,2,2,1,0,0,0,3,0,6,-4,5,19,0.251866
kaa,2,12,3,1,3,30,40,15,1,1,2,0,0,0,3,0,6,-3,5,19,0.423412
ma,2,12,4,2,1,15,15,40,2,2,1,0,0,0,3,0,6,-2,4,19,0.250432
kroo,2,12,5,2,2,40,32,15,1,1,2,0,0,0,3,0,6,-1,4,19,0.443312
ddha,2,12,6,2,3,15,44,32,2,2,1,0,0,0,3,1,6,0,4,19,0.250432
loo,2,12,7,3,1,32,39,44,1,1,2,0,0,0,3,0,6,1,5,19,0.433312
bha,2,12,8,3,2,44,40,39,2,2,1,0,0,0,3,0,6,2,5,19,0.184332
moo,2,12,9,3,3,39,51,40,1,2,2,0,0,0,3,0,6,3,5,19,0.423412
haa,2,12,10,4,1,40,32,51,2,1,2,0,0,0,3,0,6,4,5,19,0.428168
ddi,2,12,11,4,2,51,15,32,2,2,1,0,0,0,3,0,6,5,5,19,0.18969
kal,2,12,12,4,3,32,48,15,1,2,2,0,0,0,3,0,6,6,5,19,0.423313
sha,2,12,1,1,1,15,30,48,2,2,2,0,0,0,3,0,6,-5,5,18,0.414812
thru,2,12,2,1,2,48,15,30,2,1,2,0,1,0,3,0,6,-4,5,18,0.433412
kka,2,12,3,1,3,30,44,15,2,2,1,0,0,1,3,0,6,-3,5,18,0.163156
laa,2,12,4,2,1,15,15,44,1,2,2,1,0,0,3,0,6,-2,5,18,0.424312
ku,2,12,5,2,2,44,34,15,2,1,2,0,1,0,3,0,6,-1,5,18,0.431312
nna,2,12,6,2,3,15,30,34,2,2,1,0,0,1,3,1,6,0,5,18,0.281241
the,2,12,7,3,1,34,34,30,1,1,2,1,1,0,3,0,6,1,4,18,0.433312
nnu,2,12,8,3,2,30,40,34,2,1,1,0,0,1,3,0,6,2,4,18,0.281241
ma,2,12,9,3,3,34,42,40,1,1,1,1,0,0,3,0,6,3,4,18,0.220257
ri,2,12,10,4,1,40,41,42,1,1,1,0,0,0,3,0,6,4,4,18,0.250432
ya,2,12,11,4,2,42,34,41,1,2,1,0,0,0,3,0,6,5,4,18,0.233914
nii,2,12,12,4,3,41,40,34,1,2,2,0,0,0,3,0,6,6,4,18,0.441975
mu,2,12,1,1,1,34,15,40,2,2,2,0,0,0,3,0,6,-5,5,19,0.421322
kthi,2,12,2,1,2,40,15,15,2,1,2,0,1,0,3,0,6,-4,5,19,0.513801
kku,2,12,3,1,3,15,47,15,2,1,1,0,0,1,3,0,6,-3,5,19,0.195674
vikh,2,12,4,2,1,15,34,47,1,2,1,1,0,0,3,0,6,-2,4,19,0.281241
nam,2,12,5,2,2,47,47,34,1,1,2,0,0,0,3,0,6,-1,4,19,0.433312
va,2,12,6,2,3,34,42,47,2,2,1,0,0,0,3,1,6,0,4,19,0.230744
ru,2,12,7,3,1,47,30,42,1,1,2,0,1,0,3,0,6,1,5,19,0.431312
tthu,2,12,8,3,2,42,47,30,2,2,1,0,0,1,3,0,6,2,5,19,0.17932
vaa,2,12,9,3,3,30,34,47,1,2,2,1,0,0,3,0,6,3,5,19,0.423412
ne,2,12,10,4,1,47,30,34,2,1,2,0,0,0,3,0,6,4,5,19,0.421412
thra,2,12,11,4,2,34,41,30,2,2,1,0,0,0,3,0,6,5,5,19,0.199286
yum,2,12,12,4,3,30,48,41,1,2,2,0,0,0,3,0,6,6,5,19,0.459418
sha,2,12,1,1,1,41,15,48,2,1,2,0,0,0,3,0,6,-5,5,18,0.423322
kthi,2,12,2,1,2,48,41,15,2,2,1,0,0,0,3,0,6,-4,5,18,0.281241
yu,2,12,3,1,3,15,44,41,1,2,2,0,1,0,3,0,6,-3,5,18,0.421412
lloo,2,12,4,2,1,41,34,44,2,1,2,0,1,1,3,0,6,-2,5,18,0.409005
nna,2,12,5,2,2,44,30,34,2,2,1,1,0,1,3,0,6,-1,5,18,0.289951
thil,2,12,6,2,3,34,15,30,1,2,2,1,0,0,3,1,6,0,5,18,0.543919
kroo,2,12,7,3,1,30,32,15,2,1,2,0,0,0,3,0,6,1,4,18,0.443312
ddha,2,12,8,3,2,15,40,32,2,1,1,0,0,0,3,0,6,2,4,18,0.250432
ma,2,12,9,3,3,32,42,40,1,1,1,0,0,0,3,0,6,3,4,18,0.197041
ri,2,12,10,4,1,40,15,42,1,1,1,0,0,0,3,0,6,4,4,18,0.250432
ke,2,12,11,4,2,42,25,15,1,2,1,0,0,0,3,0,6,5,4,18,0.221741
doo,2,12,12,4,3,15,40,25,1,2,2,0,0,0,3,0,6,6,4,18,0.517617
maa,2,12,1,1,1,25,30,40,2,2,2,0,0,0,3,0,6,-5,6,18,0.436016
thaa,2,12,2,1,2,40,36,30,2,2,2,0,0,0,3,0,6,-4,6,18,0.447649
pi,2,12,3,1,3,30,30,36,2,1,2,0,0,0,3,0,6,-3,6,18,0.421412
thru,2,12,4,2,1,36,39,30,2,2,1,0,0,0,3,0,6,-2,4,18,0.281241
bhraa,2,12,5,2,2,30,30,39,1,1,2,0,0,0,3,0,6,-1,4,18,0.559912
thru,2,12,6,2,3,39,40,30,2,2,1,0,0,0,3,1,6,0,4,18,0.217506
mi,2,12,7,3,1,30,30,40,1,1,2,0,0,0,3,0,6,1,4,18,0.431312
thra,2,12,8,3,2,40,50,30,2,1,1,0,0,0,3,0,6,2,4,18,0.250432
sa,2,12,9,3,3,30,16,50,1,1,1,0,0,0,3,0,6,3,4,18,0.250432
khi,2,12,10,4,1,50,15,16,1,1,1,0,0,0,3,0,6,4,4,18,0.281241
ka,2,12,11,4,2,16,44,15,1,2,1,0,0,0,3,0,6,5,4,18,0.246375
lee,2,12,12,4,3,15,15,44,1,2,2,0,0,0,3,0,6,6,4,18,0.423891
kroo,2,12,1,1,1,44,32,15,2,2,2,0,0,0,3,0,6,-5,5,19,0.421022
ddham,2,12,2,1,2,15,34,32,2,1,2,0,0,0,3,0,6,-4,5,19,0.443412
ni,2,12,3,1,3,32,40,34,2,2,1,0,0,0,3,0,6,-3,5,19,0.17207
mi,2,12,4,2,1,34,30,40,1,2,2,0,1,0,3,0,6,-2,5,19,0.442989
ttham,2,12,5,2,2,40,51,30,2,1,2,0,0,1,3,0,6,-1,5,19,0.77879
ha,2,12,6,2,3,30,34,51,2,2,1,1,0,0,3,1,6,0,5,19,0.317733
ni,2,12,7,3,1,51,15,34,1,2,2,0,1,0,3,0,6,1,5,19,0.413405
